fund_id,updatetime,substrategy,strategy
HF00000008,20181229,1,1
HF00000009,20170317,1,1
HF0000000A,20170116,1,1
HF0000000B,20170112,1,1
HF0000000C,20170504,1,1
HF0000000D,20161013,1,1
HF0000000G,20170204,1,1
